frame,text_box,left_x,left_y,right_x,right_y
0,,0,0,0,0
1,,0,0,0,0
2,,0,0,0,0
3,,0,-0.5377875,0,0
4,,0,-0.8755841,0,0
5,,0,-1,0,0
6,,0,-1,0,0
7,,0,-1,0,0
8,,0,-1,0,0
9,,0,-1,0,0
10,,0,-1,0,0
11,,0,-1,0,0
12,,0,-1,0,0
13,,0,-1,0,0
14,,0,-1,0,0
15,,0,-1,0,0
16,,0,-1,0,0
17,,0,-1,0,0
18,,0.08478537,-1,0,0
19,,0.1363608,-1,0,0
20,,0.1552057,-1,0,0
21,,0.1621486,-1,0,0
22,,0.1631404,-1,0,0
23,,0.1621486,-1,0,0
24,,0.1621486,-1,0,0
25,,0.1750425,-1,0,0
26,,0.2414955,-1,0,0
27,,0.2891037,-1,0,0
28,,0.3198506,-1,0,0
29,,0.3515893,-1,0,0
30,,0.3575404,-1,0,0
31,,0.3575404,-1,0,0
32,,0.3565486,-1,0,0
33,,0.3575404,-1,0,0
34,,0.3555566,-1,0,0
35,,0.3555566,-1,0,0
36,,0.3486139,-1,0,0
37,,0.3892791,-1,0,0
38,,0.4775526,-1,0,0
39,,0.5301198,-1,0,0
40,,0.5559076,-1,0,0
41,,0.5598749,-1,0,0
42,,0.5588831,-1,0,0
43,,0.5588831,-1,0,0
44,,0.5598749,-1,0,0
45,,0.5598749,-1,0,0
46,,0.5578912,-1,0,0
47,,0.5568994,-1,0,0
48,m,0.5578912,-1,0,0
49,m,0.5598749,-1,0,0
50,m,0.5588831,-1,0,0
51,m,0.5598749,-1,0,0
52,m,0.5578912,-1,0,0
53,m,0.5559076,-1,0,0
54,m,0.4706097,-1,0,0
55,m,0.2166995,-1,0,0
56,m,0,-0.3798567,0,0
57,m,0,0,0,0
58,m,0,0,0,0
59,m,0,0,0,0
60,m,0,0,0,0
61,m,0,0,0,0
62,m,0,0,0,0
63,m,0,0,0,0
64,m,0,0,0,0
65,m,0,0,0,0
66,m,0,0,0,0
67,m,0,0,0,0
68,m,0,0,0,0
69,m,0,0,0,0
70,m,0,0.07353187,0,0
71,m,0,0.3431587,0,0
72,m,0,0.7461494,0,0
73,m,0,1,0,0
74,m,0,1,0,0
75,m,0,1,0,0
76,m,0,1,0,0
77,m,0,1,0,0
78,m,0,1,0,0
79,m,0,1,0,0
80,m,0,1,0,0
81,m,0,1,0,0
82,m,0,1,0,0
83,m,0,1,0,0
84,m,0,1,0,0
85,m,0,1,0,0
86,m,0,1,0,0
87,ma,0,1,0,0
88,ma,0,1,0,0
89,ma,0,1,0,0
90,ma,0,1,0,0
91,ma,0,1,0,0
92,ma,0,1,0,0
93,ma,0,1,0,0
94,ma,0,1,0,0
95,ma,0,1,0,0
96,ma,0,1,0,0
97,ma,0,1,0,0
98,ma,0,0.6801924,0,0
99,ma,0,0.3707013,0,0
100,ma,0,0.09165183,0,0
101,ma,0,0,0,0
102,ma,0,0,0,0
103,ma,0,0,0,0
104,ma,0,0,0,0
105,ma,0,0,0,0
106,ma,0,0,0,0
107,ma,0,0,0,0
108,ma,0,0,0,0
109,ma,0,0,0,0
110,ma,0,0,0,0
111,ma,0,0,0,0
112,ma,0,0,0,0
113,ma,0,0,0,0
114,ma,0,0,0,0
115,ma,0,0,0,0
116,ma,0,0,0,0
117,ma,0,0,0,0
118,ma,0,0,0,0
119,ma,0,0,0,0
120,ma,0,0,0,0
121,ma,0,0,0,0
122,ma,0,0,0,0
123,ma,0,0,0,0
124,ma,0,0,0,0
125,ma,0,0,0,0
126,ma,0,0,0,0
127,ma,0,0,0,0
128,ma,0,0,0,0
129,ma,0,0,0,0
130,ma,0,0,0,0
131,ma,-0.1557016,0,0,0
132,ma,-0.5026537,0,0,0
133,ma,-0.8437691,0,0,0
134,ma,-1,0,0,0
135,ma,-1,0,0,0
136,ma,-1,0,0,0
137,ma,-1,0,0,0
138,ma,-1,0,0,0
139,ma,-1,0,0,0
140,ma,-1,0,0,0
141,ma,-1,0,0,0
142,ma,-1,0,0,0
143,ma,-1,0,0,0
144,ma,-1,0,0,0
145,ma,-1,0,0,0
146,ma,-1,0,0,0
147,ma,-1,0,0,0
148,ma,-1,0,0,0
149,ma,-1,0,0,0
150,ma,-1,0,0,0
151,ma,-1,-0.0008225441,0,0
152,ma,-1,-0.04469223,0,0
153,ma,-1,-0.0815428,0,0
154,ma,-1,-0.1096193,0,0
155,ma,-1,-0.1122516,0,0
156,ma,-1,-0.1113742,0,0
157,ma,-1,-0.1113742,0,0
158,ma,-1,-0.1104968,0,0
159,ma,-1,-0.1104968,0,0
160,ma,-1,-0.1104968,0,0
161,ma,-1,-0.1104968,0,0
162,ma,-1,-0.1113742,0,0
163,ma,-1,-0.1297995,0,0
164,ma,-1,-0.1297995,0,0
165,ma,-1,-0.128922,0,0
166,ma,-1,-0.1297995,0,0
167,ma,-1,-0.1280446,0,0
168,ma,-1,-0.1280446,0,0
169,ma,-1,-0.1262899,0,0
170,ma,-1,-0.128922,0,0
171,mat,-1,-0.1297995,0,0
172,mat,-1,-0.128922,0,0
173,mat,-1,-0.128922,0,0
174,mat,-1,-0.1297995,0,0
175,mat,-1,-0.1280446,0,0
176,mat,-1,-0.1297995,0,0
177,mat,-1,-0.1297995,0,0
178,mat,-1,-0.128922,0,0
179,mat,-1,-0.1280446,0,0
180,mat,-1,-0.1271673,0,0
181,mat,-1,-0.1245351,0,0
182,mat,-1,-0.1236577,0,0
183,mat,-1,-0.1227803,0,0
184,mat,-1,-0.1236577,0,0
185,mat,-1,-0.1227803,0,0
186,mat,-1,-0.1236577,0,0
187,mat,-1,-0.1157612,0,0
188,mat,-1,-0.1061098,0,0
189,mat,-1,-0.0929489,0,0
190,mat,-1,-0.0815428,0,0
191,mat,-1,-0.07627845,0,0
192,matt,-1,-0.0815428,0,0
193,matt,-1,-0.07452361,0,0
194,matt,-1,-0.07364623,0,0
195,matt,-1,-0.07452361,0,0
196,matt,-1,-0.07101409,0,0
197,matt,-1,-0.06574966,0,0
198,matt,-1,-0.0604853,0,0
199,matt,-1,-0.06136276,0,0
200,matt,-1,-0.06136276,0,0
201,matt,-1,-0.0604853,0,0
202,matt,-1,-0.0604853,0,0
203,matt,-1,-0.0675045,0,0
204,matt,-1,-0.08417495,0,0
205,matt,-1,-0.08329757,0,0
206,matt,-0.7056367,-0.006964281,0,0
207,matt,-0.3074526,0,0,0
208,matt,0,0,0,0
209,matt,0,0,0,0
210,matt,0,0,0,0
211,matt,0,0,0,0
212,matt,0,0,0,0
213,matt,0,0,0,0
214,matt,0,0,0,0
215,matt,0,0,0,0
216,matt,0,0,0,0
217,matt,0,0,0,0
218,matt,0,0,0,0
219,matt,0,0,0,0
220,matt,0,0,0,0
221,matt,0,0,0,0
222,matt,0,0,0,0
223,matt,0,0,0,0
224,matt,0,0,0,0
225,matt,0,0,0,0
226,matt,0,0,0,0
227,matt,0.08577719,0,0,0
228,matt,0.44383,0,0,0
229,matt,0.6977401,0,0,0
230,matt,0.6977401,0,0,0
231,matt,1,0,0,0
232,matt,1,0,0,0
233,matt,1,0,0,0
234,matt,1,0,0,0
235,matt,1,0,0,0
236,matt,1,0,0,0
237,matt,1,0,0,0
238,matt,1,0,0,0
239,matt,1,0,0,0
240,matt,1,0,0,0
241,matt,1,-0.01047388,0,0
242,matt,1,-0.0315313,0,0
243,matt,1,-0.05258881,0,0
244,matt,1,-0.07101409,0,0
245,matt,1,-0.07891059,0,0
246,matt,1,-0.09470366,0,0
247,matt,1,-0.1140063,0,0
248,matt,1,-0.1543665,0,0
249,matt,1,-0.1859526,0,0
250,matt,1,-0.2008683,0,0
251,matt,1,-0.2552667,0,0
252,matt,1,-0.2886077,0,0
253,matt,1,-0.2929947,0,0
254,matt,1,-0.2929947,0,0
255,matt,1,-0.2921173,0,0
256,matt,1,-0.2833433,0,0
257,matt,1,-0.2464928,0,0
258,matth,1,-0.2289449,0,0
259,matth,1,-0.220171,0,0
260,matth,1,-0.2122744,0,0
261,matth,1,-0.2122744,0,0
262,matth,1,-0.2140293,0,0
263,matth,1,-0.2140293,0,0
264,matth,1,-0.2078875,0,0
265,matth,1,-0.2052553,0,0
266,matth,1,-0.2008683,0,0
267,matth,1,-0.1780561,0,0
268,matth,1,-0.137696,0,0
269,matth,1,-0.137696,0,0
270,matth,1,-0.04732445,0,0
271,matth,0.5807034,0,0,0
272,matth,0,0,0,0
273,matth,0,0,0,0
274,matth,0,0,0,0
275,matth,0,0,0,0
276,matth,0,0,0,0
